"顺序","编号","优先级","状态","领域","问题","风险","证据","验收标准","备注"
"1","MV-001","P1","已完成","store/undo","空 transaction 会清空 redo，历史满时还可能丢失 undo","无效手势破坏撤销/重做历史","packages/mol-viewer/src/store/slices/transactionController.ts:33; packages/mol-viewer/src/hooks/useCanvasPointerRouter.ts:69","undo 后空事务不改变 past/future；有效事务正确清空 redo；真实 store 测试通过","暂不扩展碰撞算法；2026-07-10 完成；66 个测试文件、431 个用例通过"
"2","MV-002","P1","已完成","interaction/undo","拖拽中切换 readOnly、工具或卸载可能遗留 transaction","zundo 可能永久 paused","packages/mol-viewer/src/lib/molRenderer/InteractionHandler.ts:350; packages/mol-viewer/src/lib/molRenderer/InteractionHandler.ts:427; packages/mol-viewer/src/hooks/useCanvasPointerRouter.ts:315","atom/object/gizmo 拖拽在 cancel、readOnly、卸载后 transaction depth 归零且 isTracking=true","2026-07-10 完成；核心包 68 文件 436 用例、App 19 用例和完整构建通过"
"3","MV-003","P1","已完成","store/undo","活跃 transaction 期间仍可执行 undo/redo","undo 可消耗事务起点快照","packages/mol-viewer/src/store/moleculeStore.ts:81; apps/retainmol/src/domain/keyboardCommands.ts:18","transaction 活跃时 undo/redo 被禁用或安全结束；键盘与 API 一致","2026-07-10 完成；核心包 68 文件 437 用例、类型和边界检查通过"
"4","MV-004","P1","已完成","scene/store","非空场景且 activeObjectId=null 时 setMolecule 会覆盖整个场景","多对象数据被静默删除","packages/mol-viewer/src/lib/builder/commands/scene/sceneStoreCommands.ts:104; packages/mol-viewer/src/store/slices/moleculeEditActions.ts:36","该状态具有明确契约；setMolecule 不静默删除其他对象；有集成测试","2026-07-10 完成；核心包 68 文件 438 用例、类型和边界检查通过"
"5","MV-005","P1","已完成","scene/identity","替换活跃分子时未保证全场景 atom/bond ID 唯一","picking、选择和编辑可命中错误对象","packages/mol-viewer/src/lib/builder/commands/scene/sceneStoreCommands.ts:104; packages/mol-viewer/src/lib/molRenderer/MolRenderer.ts:195","add/set/split/undo/redo 后 ID 仍唯一；bond 端点映射正确；多对象拾取测试通过","2026-07-10 完成；核心包 68 文件 440 用例、类型和边界检查通过"
"6","MV-006","P1","已完成","interaction/router","选择态 Shift+点击键会修改键级","明确选择操作意外修改分子","packages/mol-viewer/src/hooks/useCanvasPointerRouter.ts:130; packages/mol-viewer/src/hooks/builderBondEffects.ts:67","intent.canBuild=false 时任何 pointer/click 路由都不修改 molecule；路由矩阵测试通过","2026-07-10 完成；选择态 Shift/Alt 点击键只做多选；核心包 68 文件 441 用例、类型和边界检查通过"
"7","MV-007","P1","已完成","interaction/router","未选中原子的右键被框选路由抢占","原子右键菜单无法稳定打开","packages/mol-viewer/src/hooks/useCanvasPointerRouter.ts:127; packages/mol-viewer/src/components/viewer/AtomContextMenu.tsx:26","右键任意可编辑原子只打开菜单并选中，不启动框选或变换","2026-07-10 完成；右键命中原子或键均不启动框选，未选中原子由菜单路径自动选中；核心包 68 文件 442 用例、类型和边界检查通过"
"8","MV-008","P1","已完成","interaction/router","构建态双击原子可能先编辑再选片段","一次手势触发两种冲突语义","packages/mol-viewer/src/hooks/useRendererBinding.ts:99; packages/mol-viewer/src/hooks/builderAtomEffects.ts:61","double-click 只产生一个可预测意图；手势序列测试通过","2026-07-10 完成；InteractionHandler 统一仲裁单击/双击并覆盖取消生命周期；核心包 68 文件 447 用例通过；浏览器构建态双击保持 C6H6、仅选择片段且无 console error"
"9","MV-009","P2","已完成","builder/tool-state","片段笔刷在空白放置后退出，接原子或并环后继续","同一工具的生命周期取决于点击目标","packages/mol-viewer/src/hooks/builderBackgroundHandlers.ts:33; packages/mol-viewer/src/hooks/builderAtomEffects.ts:65; packages/mol-viewer/src/hooks/builderBondEffects.ts:71","所有成功放置路径共享同一 completion policy","2026-07-10 完成；移除背景 one-shot 特例，空白/原子/键路径均保持片段笔刷；核心包 69 文件 446 用例通过；浏览器连续放置由 C6H6 变为 C12H12 且无 console error"
"10","MV-010","P1","已完成","selection/store","选择命令 changed 语义不一致，误报更新或漏掉失效 ID 清理","虚假重绘/回调，选择集残留无效 ID","packages/mol-viewer/src/lib/builder/commands/selection/selectionCommands.ts:15; packages/mol-viewer/src/lib/builder/commands/selection/selectionRemovalCommands.ts:8","result 区分 moleculeChanged/selectionChanged；no-op 不 bump；失效 ID 必须清理","2026-07-10 完成；组合结果改为 moleculeChanged/selectionChanged 双维度，纯选择准确识别 no-op，store 拒绝失效 ID 并能 selection-only 清理；核心包 69 文件 454 用例、类型和边界检查通过"
"11","MV-011","P1","已完成","scene/store","锁定或隐藏的活跃对象仍可通过 store action 修改","键盘或 API 可绕过锁定语义","packages/mol-viewer/src/store/slices/sceneSlice.ts:67; packages/mol-viewer/src/store/slices/helpers.ts:37","公开编辑 action 共享可编辑性守卫；锁定/隐藏对象不被修改","2026-07-10 完成；active/objectId/split 编辑统一经过可编辑对象守卫，显隐与解锁仍可恢复编辑；核心包 70 文件 460 用例、App 19 用例、完整构建和 Sites 契约通过"
"12","MV-012","P1","已完成","controlled-sync","受控 molecule/selection 更新可能反向触发 change callback","外部状态与 viewer 形成回调回环","packages/mol-viewer/src/hooks/useMolViewerSync.ts:55; packages/mol-viewer/src/hooks/useMolViewerSync.ts:78","受控更新不回放 change callback；用户编辑仍正常回调；真实 subscription 测试通过","2026-07-10 完成；受控写入使用同步 guard，真实 Zustand subscription 证明 prop 不回放而用户编辑正常回调；核心包 70 文件 462 用例、类型和边界检查通过"
